,full_name,AdaBoost,madden_cat,position_group_rank
126,Melvin Gordon,80.0,80,2.0
133,Todd Gurley,80.0,80,1.0
129,T.J. Yeldon,80.0,80,3.0
128,Mike Davis,80.0,70,11.0
131,Tevin Coleman,80.0,80,5.0
115,Duke Johnson,80.0,80,6.0
118,Jay Ajayi,80.0,80,13.0
125,Matt Jones,70.0,70,7.0
117,Javorius Allen,70.0,70,10.0
121,Karlos Williams,70.0,60,14.0
108,Ameer Abdullah,70.0,80,4.0
119,Jeremy Langford,70.0,70,8.0
123,Malcolm Brown,70.0,70,27.0
134,Trey Williams,70.0,60,31.0
111,Cameron Artis-Payne,70.0,70,16.0
127,Michael Dyer,70.0,60,28.0
116,Jahwan Edwards,70.0,60,26.0
112,David Cobb,60.0,70,12.0
124,Marcus Murphy,60.0,70,18.0
130,Terrence Magee,60.0,60,29.0
114,Dominique Brown,60.0,60,25.0
132,Thomas Rawls,60.0,80,30.0
110,Braylon Heard,60.0,40,23.0
120,Josh Robinson,60.0,60,17.0
122,Kenny Hilliard,60.0,60,20.0
113,Dee Hart,60.0,40,24.0
109,B.J. Catalon,40.0,40,22.0
