college,conference
Ole Miss,sec
Clemson,acc
Wisconsin,big_10
Kansas State,big_12
Boise State,mountain_west
Stanford,pac_12
Notre Dame,acc
Iowa,big_10
Penn State,big_10
Washington State,pac_12
Wyoming,mountain_west
UMass,
Buffalo,
Texas Tech,big_12
Arkansas,sec
Florida Atlantic,
TCU,big_12
Washington,pac_12
Oklahoma,big_12
Kentucky,sec
Colorado State,mountain_west
Troy,
Minnesota,big_10
Rutgers,big_10
Indiana,big_10
Florida State,acc
South Carolina,sec
Maryland,acc
UCLA,pac_12
USC,pac_12
Florida,sec
Texas,sec
Utah,mountain_west
Michigan,big_10
Boston College,acc
Syracuse,acc
Alabama,sec
Northwestern,big_10
Toledo,
Georgia,sec
Duke,acc
Kansas,big_12
Auburn,sec
Memphis,
North Carolina A&T,
West Virginia,big_12
Iowa State,big_12
Utah State,
Texas A&M,sec
Mississippi State,sec
Baylor,big_12
LSU,sec
Ferris St.,
Oregon,pac_12
Ohio State,big_10
Missouri,sec
Houston,
Northern Arizona,
Colorado,pac_12
Michigan State,big_10
North Carolina St.,acc
Miami,acc
Wake Forest,acc
Hawaii,
Appalachian State,
Akron,
South Alabama,
Louisville,acc
Northwestern St. (LA),
Fresno State,
Vanderbilt,sec
Oklahoma State,big_12
South Dakota State,
San Jose State,mountain_west
Virginia,acc
San Diego State,mountain_west
UC Davis,
Texas State,
North Carolina,acc
Marshall,
Northern Illinois,
Eastern Michigan,
Charlotte,
Arizona State,
Old Dominion,
Pittsburgh,acc
Temple,
Central Michigan,
BYU,mountain_west
Nebraska,big_10
New Mexico State,
UCF,
Virginia Tech,acc
Tulane,
Ball State,
Nevada,mountain_west
Georgia State,
Western Michigan,
SMU,
Arizona,pac_12
Southern,
Jacksonville State,
East Carolina,
South Florida,
Purdue,big_10
California,pac_12
Arkansas State,
Western Kentucky,
Tennessee,sec
Southern Mississippi,
UT San Antonio,
Indiana (PA),
Middle Tennessee,
Oregon State,pac_12
UTEP,
Youngstown State,
Texas Christian,
Shepherd,
Ohio,
Louisiana Tech,
Illinois,big_10
Louisiana,
Tennessee State,
NC State,acc
Air Force,mountain_west
Florida International,
Tulsa,
Cincinnati,
Connecticut,
Georgia Tech,acc
Montana State,
North Dakota State,
West Georgia,
Samford,
Eastern Kentucky,
Bowling Green,
North Carolina Central,
UNLV,
Southeastern Louisiana,
Rice,
Northern Iowa,
Chattanooga,
Navy,
Miami (OH),
Towson,
Eastern Washington,
Kent State,
Alabama State,
McNeese,
Missouri Western,
Missouri Southern,
Tennessee Tech,
Glenville State,
UT Martin,
Richmond,
South Carolina State,
North Alabama,
Wayne State (MI),
Southern Illinois,
Coastal Carolina,
Lafayette,
Hampton,
Yale,
Hillsdale,
Idaho,mountain_west
California (PA),
Fort Hays State,
Delaware,
Norfolk State,
Stillman,
Abilene Christian,
West Liberty,
New Mexico,
Alcorn State,
Liberty,
Sam Houston State,
Army,
Louisiana Monroe,
Morgan State,
Clark Atlanta,
San Diego,
West Texas A&M,
Weber State,
Lane (TN),
Montana,
UAB,
Idaho State,
Texas College,
Villanova,
Northwestern State,
Furman,
Grambling,
Southern Utah,
Portland State,
Northern Colorado,
Southern Oregon,
Nicholls,
North Texas,
Minnesota-Morris,
Mars Hill,
Georgia Southern,
Western Carolina,
Central Missouri,
Jackson State,
Texas A&M-Commerce,
James Madison,
Illinois State,
Azusa Pacific,
Cheyney,
Savannah State,
